Inbox Start Time	Tiempo de inicio del Buzón
Inbox Start Time(Expert)	Tiempo de inicio del Buzón (Experto)
To Care Team	Para Equipo de Atención
is VIP?	¿Es VIP?
Inbox Completion Ratio	Radio de Conclusión de Buzón
Inbox Success Ratio	Radio de Éxito de Buzón
careteam doctors	doctores careteam
requested doctors	doctores requeridos
⌛ [Pending] Doctors with Inbox Consults for 24hrs - 48hrs	⌛ [Pendiente] Doctores con consultas de buzón de voz de 24hrs - 48hrs
⌚ [Expired] Doctors with Inbox Consults for 48hrs - 72hrs	⌚ [Vencido] Doctores con consultas de buzón de voz 48hrs - 72hrs
⌘ Doctors with Real Patient Appointment in Next 24 Hours	⌘ Doctores con Citas de Pacientes Reales en las Siguientes 24 Horas
(who haven't successfully had appointment before)	(¿quién no ha tenido una cita exitosamente anteriormente?)
Appointment ID	ID de Cita
Appointment Time	Hora de Cita
Appointment Time(Expert)	Hora de Cira (Experto)
⌘ Doctors Who Already Missed Appointments in Last 24 Hours	⌘ Doctores Que Ya Han Perdido Citas en las Últimas 24 Horas
Trophies are awarded to our most engaged doctors on HealthTap. By earning more trophies, you will gain recognition and showcase your expertise and compassion to millions who are seeking your expertise on HealthTap.	Trofeos son premiados a nuestros doctores más comprometidos en HealthTap. Granando más trofeos, ganarás reconocimiento y exhibirás tu destreza y compasión paea millones que están buscando tu destreza en HealthTap.
Happy tapping,	Feliz Tapping,
By unlocking more medals you will gain recognition and showcase your expertise and compassion.	Desbloqueando más medallas ganarás reconocimiento y exhibirás tu destreza y compasión.
Quick! Reply in the next two days before this opportunity expires.	¡Rápido! Contesta en los siguientes dos días antes de que esta oportunidad termine.
Thanks again,	Gracias de nuevo,
Warmly,	Cálidamente,
3 easy steps to connect to a doctor on your mobile or desktop	3 pasos fáciles para conectar con un docotor en tu móvil o escritorio
Log in to your HealthTap account and select the	Ingresa a tu cuenta HealthTap y escoge la
"Ask Docs"	pestaña
tab	“Pregunta a Docs”
and get unlimited, immediate doctor consults 24/7	y obtén consultas ilimitadas, inmdiatas 24/7.
(advice/prescription/checklists, and more!)	(¡consejos/prescripciones/listados, y más!)
Answer a few easy questions to help the doctors provide you with better care, then select	Contestar algunas preguntas para ayudar a los doctores brindarte mejor atención, luego selecciona
Video, Voice	Video, Voz
Text chat.	Chat en texto.
You'll be immediately connected with a doctor.	Serás conectado inmediatamente con un doctor/
It's that easy!	¡Es así de fácil!
Don’t miss out on HealthTap Prime, our new special service that connects you with top doctors via video or text chat 24/7, for free for 30 days. This special offer is for a limited time only! Start your free trial today and get unlimited 1-on-1 doctor advice, prescriptions, personalized reminders, and much more!	No te pierdas en HealthTap Prime, nuextros nuevo servicio especial que te conecta con doctores top vía chat en video o texto 24/7 gratis por 30 días. ¡Esta oferta especial es sólo por tiempo limitado! ¡Empieza tu prueba gratis hoy y obtén consejos, prescripciones, recordatorios de doctores ilimitados, y mucho más!
We’re delighted to offer you a	Estamos encantados de ofrecerte un
our new special service that connects you and your loved ones with a top doctor via video or text chat anytime, anywhere.	nuestro nuevo servicio especial que te conecta a ti y a tus seres queridos con un doctor vía chat en video o texto, cuando sea, donde sea.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you’ve already asked a doctor a question on HealthTap, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque le has hecho una pregunta a un doctor en HealthTap, por un tiempo limitado estamos emocionados de darte esta oferta exclusica que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you’ve already been such a valued user of HealthTap, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque le has sido un usuario muy valioso en HealthTap, por un tiempo limitado estamos emocionados de darte esta oferta exclusica que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you’ve kindly thanked a HealthTap doctor for answering your question, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque le has agradecido amablemente a un doctor HealthTap por tu contestar tu pregunta. por un tiempo limitado estamos emocionados de darte esta oferta exclusiva que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you’ve kindly thanked many of our HealthTap doctors for answering your questions, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque le has agradecido amablemente a muchos doctores HealthTap por tu contestar tu pregunta, por un tiempo limitado estamos emocionados de darte esta oferta exclusiva que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you’ve thanked a HealthTap doctor for saving your life, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque le has agradecido amablemente a un doctor HealthTap por salvar tu vida, por un tiempo limitado estamos emocionados de darte esta oferta exclusiva que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you are a valuable HealthTap user, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque has sido un usuario HealthTap valioso, por un tiempo limitado estamos emocionados de darte esta oferta exclusica que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! Because you’ve already asked to get a faster answer to your pressing health question, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable) so you can get instant advice from one of our top doctors. Sign up today to start your free trial.	¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Porque ya has pedido obtener una respuesta más rápido para tu urgente pregunta de salud, por un tiempo limitado estamos emocionados de darte esta oferta exclusica que es sólo para ti (no transferible) para que puedas obtener consejo de uno de nuestros doctores top. Regístrate hoy para empezar tu prueba gratis.
“The doctor can see you now...on your iPhone,” said CNBC. Ready to have a health experience that will delight you? Get unlimited advice, prescriptions, and reminders for 30 days for free! To thank you for your interest in HealthTap, for a limited time we’re thrilled to give you this exclusive offer that’s just for you (not transferable). Sign up today to start your free trial.	“El doctor puede verte ahora... en tu iPhone,” dijo CNBC. ¿Listo para tener una experiencia de salud que te encantará? ¡Obtén consejo, prescripciones, y recordatorios ilimitados por 30 días gratis! Para agradecerte por tu interés en HealthTap, por un tiempo limitado estamos emocionados de darte esta oferta exclusica que es sólo para ti (no transferible). Regístrate hoy para empezar tu prueba gratis.
thanked you for your	te agradeció por tu
to their private message.	a su mensaje privado.
Continue to provide great answers to help increase your DocScore and distinguish yourself as a leading expert in your community.	Continúa brindando grandes respuestas para ayudar a incrementar tu DocScore y distinguirte a ti mismo como un experto líder en tu comunidad.
Thanks for Thanking our Doctors - they really appreciate it!	Gracias por Agradecer a nuestros Doctores - ¡ellos realmente lo aprecian!
If you had a great experience please rate our mobile apps here:	Si tuviste una gran experiencia por favor califica nuestras aplicaciones móviles aquí:
If you have any suggestions or feedback please reply to this email with your comments.	Si tienes alguna sugerencia o comentario por favor responde a este correo electrónico con tus comentarios.
Thanks for letting us know what you think,	Gracias por dejarnos saber lo que piensas,
thanked you for your post,	te agradeció por tu publicación,
thanked you for your tip on	te agradeció por tu tip en,
thanked you for answering a	te agradeció por contestar un
Continue publishing great posts to help increase distinguish yourself as an expert in your community.	Continúa publicando grandes publicaciones para ayudar a incrementar tu DocScore y distinguirte a ti mismo como un experto líder en tu comunidad.
Continue to provide great tips and answers to help distinguish yourself as an expert in your community.	Continúa brindando grantes tips y respuestas para ayudarte a distinguirte a ti mismo como un experto líder en tu comunidad.
Details:	DetallesL
SYOP Interested: yes	SYOP interesado: sí
SYOP LEAD: Landing Page	SYOP LEAD: Página de aterrizaje:
Expert name:	Nombre del Experto:
SYOP LEAD: Concierge Application	SYOP LEAD: Solicitud de Concierge
Pricing Package Selected:	Tarifa de Paquete Seleccionada”
Story Submitted:	Historia Enviada:
, wants to follow you on HealthTap because they are interested in your practice and clinical expertise.	, quiere seguirte en HealthTap porque estan interesados en tu consultorio y destreza clínica.
Sign up now to see your new follower. We look forward to welcoming you to HealthTap!	Regístrate ahora para ver tu seguidor. ¡Estamos ansioso de darte la bienvenida a HealthTap!
All the best	Todo lo mejor
Since you’ve asked the question	Ya que has hecho la pregunta
, we’ve received several new related questions and answers that you may find helpful. Take a look:	, hemos recibido muchas preguntas nuevamente relacionadas y respuestas que puedes encontrar útiles. Echa un vistazo:
We know it’s important to stay up-to-date on the health information that matters most to you.	Sabemos que es importante permanecer actualizados sobre la información de la salud que le importa a la mayoría de ustedes.
At HealthTap, you get more than just answers to personal health questions; you get relevant trustworthy knowledge you can use.	En HealthTap, obtienes más que sólo respuestas a preguntas personales de salud; obtienes conocimiento relevante confiable que puedes usar
 to discover related answers, explore relevant topic pages or even follow a doctor who specializes in health subjects that you are most interested in.	 para descubrir respuestas relacionadas, esplorar páginas de temas relevantes o incluso seguir a un doctor que se especializa en temas de salud sobre los que estás interesado.
Sign into HealthTap today	Regístrate a HealthTap hoy
 to find the information you need from the doctors you trust – they can’t wait to help you!	 para encontrar la información que necesitas de los doctores en los que confías - ¡no pueden esperar para ayudarte!
Come back to 	Regresa a 
Sincerely,	Atentamente,
We've received your question, thanks!	¡Hemos recibido tu pregunta, gracias!
You asked:	Preguntaste:
So you’re probably thinking,	Así que probablemente estás pensando,
“What happens now?”	¿Qué pasa ahora?
Well your question has been sent to tens of thousands of U.S. licensed doctors, but please be patient. With our recent rapid growth worldwide, new questions are pouring in every second. Don’t fret, the doctors in our network and the HealthTap team are hard at work to provide you with trusted, high-quality answers.	Bueno tu pregunta ha sido enviada a decenas de miles de doctores acreditados en EE.UU., pero por favor sé paciente. Con nuestro reciente, rápido crecimiento, nuevas preguntas están llegando por montones cada segundo. No te preocupes, los doctores en nuestra red y el equipo HealthTap trabajan duro para brundarte respuestas confiables, de alta calidad.
other answers »	otras respuestas »
If these questions provide the information you’re looking for, great! If not, we encourage you to	¡Si estas preguntas brindan la información que estás buscando, genial! Si no, te alentamos a
pay it forward and	regresar el favor y
browse relevant topics	ojear otros temas relevantes
invite your friends	invita a tus amigos.
while you wait.	mientras esperas.
Thanks again and happy tapping,	Gracias de nueevamente y feliz tapping,
said:	dijo:
We hope you find this information helpful!	¡Esperamos que encuentres esta información útil!
sent you a post from HealthTap.	te envió una publicación de HealthTap.
HealthTap provides health information and answers from thousands of doctors licensed in the United States. Anytime. Anywhere.	HealthTap brinda información de salid y respuestas de miles de doctores acreditados en loa Estados Unidos. En cualquier momentou En cualquier lugar.
For free.	Gratis.
To see the message,	Para ver este mensaje,
now.	ahora.
To your health!	¡Para tu salud!
see attachment	ver archivo adjunto
 please reply with unsubscribe	 por favor responde cancelando la subscripción
Comprehensive expert compensation report	Reporte de copensación de expertos completo
Have fun with the report. Please get Karan any/all of the following to show your appreciation: 	Diviérte con el reporte. Por favor dale a Karan cualquier/todo lo siguiente para mostrar tu apreciación: 
Customers .	Clientes
Thank you for helping others as a HealthTap Scholar.	Gracias por ayudar a otros como HealthTap Scholar.
Here's a summary of your activity last week:	Aquí tienes un resúmen de tu actividad de la semana pasada:
Your Weekly Summary	Tu resúmen semanal
Your Activity on Questions	Tu Actividad en Preguntas
Questions returned	Preguntas regresadas
since last week	desde la semana pasada
Questions deleted	Preguntas eliminadas
Your Activity on Answers	Tu Actividad en Respuestas
Answers agreed	Respuestas de acuerdo
Answers featured	Respuestas destacadas
Review Questions	Revisar Preguntas
Review Answers	Revisar Respuestas
As a Scholar you are among the top doctors on HealthTap, and play a vital role in our community as a key contributor and as an "expert among experts."	Como un Scholar estás entre los mejores doctores en HealthTap, y juegas un role vital en nuestra comunidad como un contribuyente clave y como un “experto entre expertos”.
Maintain your status as a Scholar	Mantén tu estado como un Scholar
Dr. Geoffrey Rutledge, M.D., Ph.D.	Dr. Geoffrey Rutledge, M.D., Ph.D.
drrutledge@healthtap.com	drrutledge@healthtap.com
Hello,	Hola,
I'm always trying to improve patient-care and provide a better experience for you. As my patient, I value your health and well-being, and would really appreciate you spending 2 minutes to share your thoughts on my practice and your overall health.	Siempre estoy tratando de mejorar la atención al paciente y brindar una mejor experiencia para ti. Como mi paciente, valoro tu salud y bienestar, y apreciarí que te tomaras 2 minutos para compartir tus pensamientos en mi consultorio y salud en general.
Thank you,	Gracias
Reporter	Reportero
Reason	Razón
Reported Person	Persona Reportada
Reported Content	Contenido Reportado
Reason:	Razón:
Reported:	Reportes:
Welcome to HealthTap, your new interactive Medical Home,	Bienvenido a HealthTap, tu nuevo Horgar Médico interactivo,
where you can get broad recognition for your expert knowledge (by effortlessly distributing the content you create via social media),	donde puede amplio reconocimiento por tu conocimiento experto (distribuyento sin esfuezo el contenido que creas vía redes sociales),
find new patients and grow your practice, and reduce your costs while improving the quality of care.	encuentra nuevos pacientes y haz crecer tu consultorio, y reduce tus costos mientras mejoras la calidad de atención.
Get started in 3 simple steps:	Empieza en 3 simples pasos:
Confirm your account:	Confirma tu cuenta:
2. Complete your registration by updating your public profile and entering 3 simple Answers or Tips to become a Featured Medical Expert	2. Completa tu registro acutalizando tu perfil público e incresando 3 simples Respuestas o Tops para convertirte en una Experto Médico Destacado.
3. Advance your online reputation and improve the quality of care by entering additional Answers and Tips to your Medical Home	3. Avanza tu reputación en línea y mejora la calidad de atención ingresando Respuestas adicionales y Tips a tu Hogar Médico
Here's more information:	Aquí hay más información:
1. Confirm your account details here:	1. Confirma los detalles de tu cuenta aquí:
Please note: Registration requires a photo (under 4MB) for your HealthTap profile.	Por favor nota: El registro requiere una foto (menor de 4MB) para tu perfil HealthTap.
If you do not have one available, please select one from our gallery.	Si no tienes una disponivle, por favor selecciona una de nuestra galería.
Real photos help build credibility and trust with users.	Fotos reales ayudan a construir credibilidad y confianza con los usuarios/
2. Complete Your Registration	2. Completa Tu Registro
by Updating Your Profile and Answering three or more Questions	Actualizando Tu Perfil y Contestando tres o más Preguntas
It's fast and simple to update your interactive Medical Home on HealthTap and be recognized by patients in your town and nationwide.	Es rápido y simple actualizar tu Hogar Médico interactivo en HealthTap y sé reconocido por pacientes en tu ciudad y por toda la nación.
Getting started as a Medical Expert is easy: just post 3 or more short Answers (which can be as brief as a sentence or two – you can edit or delete them at any time)	Empezar como un Médico Experto es fácil: sólo publica 3 o más Respuestas cortas (que pueden ser tan breves como un enunciado o dos - puedes editar o eliminarlos en cualquier momento)
then complete your registration by updating the information on your Medical Home - select "Medical Home" from your home page and add your personal information to the About section.	entonces completa tu registro actualizando la información en tu Hogar Médico - selecciona “ Hogar Médico” desde tu página de inici y añade tu información personal en la sección Acerca de.
You have full control over everything you share on HealthTap and can use your insights in your	Tienes control completo sobre todo lo que compoartes en HealthTap y puedes usar tus perspicacias en tu
own blog, website, and in other publications. You can automatically syndicate your posts on other	propio blog, sitio web, y en otras publicaciones. Puedes sindicalizar automáticamente tus publicaciones en otras
social media platforms. Our staff would be happy to set up professional Facebook or Twitter	plataformas de redes sociales. Nuestro equipo estará feliz de establecer cuentas profesionales
accounts for you (for free).	de Facebook o Twitter (gratis)
3. Advance your online reputation	3. Mejorar tu reputación en línea.
by adding simple Answers and Tips	añadiendo simples Respuestas y Tip
Advance your online and social media reputation by sharing your answers and Tips on HealthTap.	Mejora tu reputación en línea y de redes sociales compartiendo tus respuestas y Tips en HealthTap
For a limited time, our most prolific contributors can achieve Founding Expert status and be prominently featured on our founding experts page.	Por un tiempo limitado, nuestros contribuyentes más prolíficos pueden lograr estado de Experto Fundador y ser prominentemente destacado en nuestra página de expertos fundadores.
Additionally, to appear as a Featured (5+ answers), Notable (25+ answers), or Leading (50+ answers) Expert,	Asismismo, para aparecer como un Experto Destacado (5+ respuestas), Notable (25+ respuestas), o Líder (50+ respuestas),
simply provide more quality responses to questions and add more Tips on HealthTap.	simplemente brindando respuestas de más calidad a preguntas y añadir más Tips en HealthTap.
All Answers and Tips you post will link back to your Medical Home Page. You can broaden your visibility by contributing more content,	Todas las Respuestas y Tips que publiques tendrán un enlace de regreso a tu Página de Hogar Médico. Puedes ampliar tu visibilidad cotribuyendo más contenido,
which will also help new patients find you. Your Medical Home can also serve as a valuable resource for your existing patients, before and between visits.	lo cual también ayudará a nuevos pacientes a encontrarte. Tu Hogar Médico puede también servir como recurso valioso para tus pacientes existentes, antes y entre visitas,
We're here to help	Estamos aquí para ayudarte.
If you have any questions, or if you would like any assistance getting started, email	Si tienes alguna pregunta, o si te gustaría recibir apoyo para empezar, envía un correo electrónico
or call us at (650) 644-1833. Our medical and technical staff are standing by to help at anytime.	llámanos al (650) 644-1833 Nuestro equipo médico y técnico está en espera de ayudarte en cualquier momento.
Alan	Alen
Alan Greene, MD, FAAP	Alan Greene, MD, FAAP
HealthTap Medical Director and Physician Community Lead	Director Médico de HealthTap y Líder de la Comunidad Médica
https://www.healthtap.com/expertnetwork	https://www.healthtap.com/expertnetwork
Thanks for using HealthTap – we hope you've had an amazing experience so far! We're hard at work to make sure that you enjoy a real 5-star experience.	¡Gracias por usar HealthTap - esperamos que hayas tenido una asombrosa experiencia hasta ahora! ¡Estamos trabajando duro para asegurarnos que dsifrutas un experiencia 5 estrellas.
Give us 5-stars!	¡Danos 5 estrellas!
If HealthTap has been helpful to you in your search for trusted health information, we'd appreciate you helping others who need us find us like you did by	Si HealthTap ha sido útil para ti en tu búsqueda por información de salud, apreciaríamos que ayudaras a otros que necesitan encontrarnos como lo hiciste tu
rating HealthTap highly on iTunes App Store.	dándole una calificación alta a HealthTap en iTunes App Store.
rating HealthTap highly on Google Play.	dándole una calificación alta a HealthTap en Google Play.
It only takes a few seconds to submit your rating, and positive reviews would help others try HealthTap and get the same great service you did.	Sólo toma unos segundos enviar tu calificación, y críticas positivas ayudarían a otros a probar HealthTap y obtener el mismo gran servicio que tú.
Have feedback?	¿Tienes comentarios?
If you you have some direct feedback on where we can improve even more - please feel free to reply to this email - as we're very committed to constantly providing a better service to our users and will welcome your suggestions.	Si tienes algún comentario directo sobre dónde puedes mejorar aún más - por favor siénte libre de responder a este correo electrónico - ya que estamos muy comprometidos en brindar constantemente un mejor servicio a nuestros usuarios y le daremos la bienvenida a tus sugerencias.
★★★★★ Rate HealthTap 5-stars today »	★★★★★ Califica a HealthTap con 5 estrellas hoy »
Many thanks and wishing you good health and smiles,	Muchas gracias y te deseamos buena salud y sonrisas,
We know you’ve been waiting a while for an answer to your question, and we’d like to thank you for your patience. We just want to let you know that not all questions on HealthTap receive answers. A question is likely to go unanswered if it lacks detail, the question is unclear, or if it contains terms with which the doctors are not familiar. We are writing to let you know that your question is much more likely to receive a response if you improve it by editing or resubmitting it.	Sabemos que has estado esperando por una respuesta a tu pregunta, y nos gustaría agradecerte por tu paciencia. Sólo queremos hacerte saber que no todas las preguntas en HealthTap reciben respuestas. Una es más probable de nos ser respondida si le falta detalle, si la pregunta no es clara , o si contiene términos con los cuales el doctor no está familiarizado. Escribimos para hacerte saber que tu pregunta es mucho más probable de recibir una respuesta si la mejoras editándola o reenviándo.
We encourage you to look at relevant information for your question and use it to improve your question. You’ll find an amazing amount of questions and existing answers on HealthTap.	Te alentamos a que veas información relevando para tu pregunta y la uses para mejorar tu pregunta. Encontrarás una increíble cantidad de preguntas y respuestas existentes en HealthTap.
See Similar Questions and discover related topics:	Ve Preguntas Similares y descubre temas relacionados:
With our huge database of questions and health topics, chances are you’ll find something similar. We encourage you to look through similar questions to find the answer you’re looking for.	Con nuestra enorme base de datos de preguntas y temas de salud, lo más probable es que  encontrarás algo similar. Te alentamos a ver a través de preguntas similares para encontrar la respuesta que estás buscando.
After you review similar content, we suggest you	Después de que revises contenido similar, te sugerimos
to add enough detail to make it meaningful, answerable, and easy to understand. Please remember to only ask about one topic in your question, and double-check your spelling and grammar.	agregar suficientes detalles para hacerlo significativo, contestable, y fácil de entender. Por favor recuerda sólo preguntar acerca de un tema en tu pregunta, y vuelve a revisar tu ortografía y gramática.
Thanks for editing your question! We know it will help us find you the answer you’re seeking.	¡Gracias por editar tu pregunta! Sabemos que nos ayudará a econtrar la respuestas que buscas.
We know you’re still waiting on an answer and want to thank you for your patience. Our doctors are still working overtime to answer the questions pouring in from across the globe. We really want to help you find the answer you’re looking for and we encourage you to take one of the following actions to improve your chance of finding a great answer from a top doctor:	Sabemos que sigues esperando por una respuesta, y queremos agradecerte por tu paciencia. Nuestros doctores siguen trabajando tiempo extra para contestar preguntas por montones al rededor del mundo. Realmente queremos ayudarte a encontrar la respuesta que estás buscando y te alentamos a tomar un de las siguientes acciones para mejorar tu oportunidad de encontrar una buena respuesta de uno de los mejores doctores:
Review Similar Content:	Revisar Contenido Similar:
With our huge database of millions of questions and answers from leading doctors, chances are you’re likely to find similar questions that already have great answers from multiple doctors, that were peer reviewed by other doctors too!	¡Con nuestra enorme base de datos de millones de preguntas y respuestas de doctores líderes, lo más probable es que encuentres preguntas similares que ya tienen grandes respuestas de múltiples doctores, que fueron revisadas por pares por otros doctores también!
See related topics »	Ver temas relacionados »
Did the content on these pages answer your question?	¿El contenido en estas páginas responde tu pregunta?
Edit your question:	Editar tu pregunta:
If you don’t find an answer you’re 100% happy with by looking at similar questions on HealthTap, feel free to edit and improve your question. Our doctors are able to select which questions to answer, and may skip questions that aren’t answerable, clear, and/or detailed. Ways to improve your question include: add enough detail to make it meaningful, answerable, and easy to understand; ask about just one topic in your question; and double-check your spelling and grammar.	Si no encuentras una respuesta con la que estás 100% feliz mirando a preguntas similares en HealthTap, siéntete libre de editar y mejorar tu pregunta. Nuestros doctores son capaces de seleccionar qué preguntas contestar, y pueden saltar preguntas que no son respondibles, claras y/o detalladas. Formas de mejorar tu pregunta incluyen: agregar suficiente detalle para hacerla significativa, contestable, y fácil de entender; pregunta acerca de un tema en tu pregunta; revisa de nuevo tu orografía y gramática.
Expedite for only $0.99:	Expedite por sólo $0.99
If you’d like to get your question answered faster, you can also donate 99 cents to charity and we’ll give your questions a higher priority.	Si quisieras que tus pregunta fuera contestada más rápido, puedes donar 99 centavos también a caridad y le daremos una más alta prioridad a tus preguntas.
Thanks for asking!	¡Gracias por preguntar!
As you know, our doctors are currently working through many great questions from millions of people everywhere. We really want to help you find the answer you’re looking for so we encourage you to take one of the following actions to get a great answer from a top doctor faster:	Como sabes, nuestros doctorees están trabajando actualmente con muchas grandes preguntas de millones de personas de todas partes. Realmente queremos ayudarte a encontrar la respuesta que estás buscando y te alentamos a tomar un de las siguientes acciones para encontrar una buena respuesta de uno de los mejores doctores:
With our huge database of millions of questions and answers from leading doctors, chances are you’re likely to find similar questions that already have great answers that were even peer reviewed by other doctors!	¡Con nuestra enorme base de datos de millones de preguntas y respuestas de doctores líderes, lo más probable es que encuentres preguntas similares que ya tienen grandes respuestas de doctores!
With new answers created every second, we encourage you to check out other answers that our system thinks are similar to yours.	Con nuevas respuestas creadas cada segundo, te alentamos a revisar otras respuestas que nuestro sistema piensa que son similares a la tuya.
Thanks for your patience!	¡Gracias por tu paciencia!
and distinguish yourself as a leading expert in your community.	y distinguirte como un experto líder en tu comunidad/
ExpertSupport@healthtap.com	ExpertSupport@healthtap.com
If you would like to know more about finding patients in your area, we'd be happy to help! Please contact us directly at 	¡Si quieres saber más acerca de encontrar pacientes en tu área, estaremos felices de ayudarte! Por favor contáctanos directamente a 
A HealthTap user is waiting for an answer to this question on a topic we thought might interest you:	Un usuario HealthTap está esperando por una respuesta a esta pregunta en un tema que pensamos te puede interesar:
As always, please send any questions, comments or feedback to 	Como siempre, por favor envía cualquier pregunta, comentario o sugerencia a 
